time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.0003274152,7.37032952003e-07,1.59370603443e-05,0.0,0.0,0.0,0.0327415219493,-0.0012141111579,-0.0056457170217,0.0,436.8894733108193,435.4752721531419,436.63641466777534,436.3325012610589
0.04,-3.60332564278e-08,1.66641129407e-09,10.0012812182,4.30312235027e-05,6.28308879659,0.0,-3.60332564278e-06,1.66641129407e-07,0.062638779819,0.0103250754433,-0.00467959634897,0.0,433.5136850680345,433.757207442845,432.14187983765,435.0496181177137
0.06,1.49736681637e-07,1.19960902233e-07,10.0032435811,0.000264346718002,6.28299526691,0.0,2.21803194493e-05,1.16628079645e-05,0.133597505394,0.0157682336503,-0.00432675759285,0.0,471.0811347438463,471.16304981728206,470.95227703978605,472.213261839371
0.08,1.03361310671e-06,9.65634308547e-07,10.0062702508,0.000590558812294,6.28291075693,0.0,6.62073230583e-05,7.29045326669e-05,0.169069470117,0.0111104613749,-0.00231421293877,0.0,438.519849368094,439.0210846905526,439.70531987715253,438.54630804760046
0.1,3.05962465038e-06,3.93343976643e-06,10.0102460573,0.000819124414822,6.28288074704,0.0,0.000136393831308,0.000223876013121,0.228511177747,0.0146759557391,-0.008019362037,0.0,461.32017127496334,459.96700459423175,461.14535535428996,461.9892401621199
0.12000000000000001,6.46194742867e-06,1.02249046817e-05,10.0150687726,0.00111264383563,6.28272049551,0.0,0.000203838446521,0.000405270478406,0.253760352059,0.0146512162192,-0.00749837207106,0.0,429.722970469006,429.85553131177204,428.59473441376076,428.588329815565
0.14,1.17434672361e-05,2.12141882053e-05,10.0207738898,0.0014509164823,6.28258952066,0.0,0.00032431353422,0.000693657873949,0.31675136549,0.0241641886558,-0.013661584003,0.0,464.6082988560421,463.1567504594509,463.6560415947966,465.89228285865534
0.16,1.98496837186e-05,3.90323911792e-05,10.0278659178,0.00194199920378,6.28232416256,0.0,0.000486308114031,0.00108816242345,0.392451438413,0.0202147713916,-0.00969331448416,0.0,475.3429653934255,476.2543621049498,475.86852730057427,474.9608893859756
0.18,3.19954525109e-05,6.62521790953e-05,10.036562697,0.00240768332675,6.2821375093,0.0,0.000728268765203,0.00163381636816,0.477226479785,0.00913427545151,-0.0134914788038,0.0,483.8431037799082,482.984765462891,484.88266154274845,482.3792859470654
0.19999999999999998,4.86335612016e-05,0.000103691331909,10.0461234009,0.00259040346478,6.28187283167,0.0,0.000935542103859,0.00211009891322,0.478843910883,0.00939744461149,-0.0102815087752,0.0,406.05819407719633,406.92112347055553,405.14205048831366,405.21290594628476
0.21999999999999997,7.1254802855e-05,0.000153611162473,10.0567176754,0.00280139250376,6.28170970053,0.0,0.00132658206148,0.00288188414319,0.580583538755,0.00260919789496,-0.0195009481174,0.0,498.73905779319654,496.71531072540205,498.9414700516921,497.45256275303166
0.23999999999999996,0.000101258490789,0.000217840397457,10.0687202982,0.00285655343591,6.28134138956,0.0,0.00167378673194,0.00354103935519,0.619678734504,0.00504926930839,-0.0129118669351,0.0,441.4724062520129,443.1002318867901,442.7608279992086,443.36252325303656
0.25999999999999995,0.000138651528573,0.000294729750392,10.0812763083,0.00296482287046,6.28108315708,0.0,0.00206551704643,0.00414789593832,0.635922281771,0.00886608693223,-0.0128132741456,0.0,420.79736777845255,420.82307608421297,420.1111829032663,421.1026200169348
0.27999999999999997,0.000184543268175,0.000384149127034,10.0942121293,0.00314528068043,6.28082823118,0.0,0.00252365691383,0.00479404172587,0.657659820687,0.0113705115444,-0.0111764641801,0.0,425.43504417553663,425.8553298695955,426.2821595908798,426.92349311294794
0.3,0.000240054819833,0.000486753165779,10.1075408824,0.00337970987742,6.28060621854,0.0,0.00302749825196,0.00546636214864,0.675215481813,0.0076237886813,-0.0129180989308,0.0,421.83958708927406,421.3883447499353,422.97346866002863,422.00436927579733
0.32,0.000306657155725,0.000604011536173,10.1214298854,0.0035513177291,6.28039300117,0.0,0.00363273533725,0.00625947489074,0.713684822623,0.00143798589454,-0.00341603486197,0.0,441.352584631325,443.6988696701999,442.63512212590035,441.10539775438616
0.34,0.000386790670115,0.00073871265834,10.1364199248,0.00359583442776,6.28038086624,0.0,0.00438061610173,0.00721063732601,0.785319119119,-0.00417574383933,-0.0140165785166,0.0,474.018957883183,471.56919855932944,472.66280048613123,471.36326734126095
0.36000000000000004,0.000480131291229,0.000890270095244,10.1522068777,0.00352188147219,6.28011515934,0.0,0.00495344600969,0.00794510636436,0.793376171072,0.000197337732679,-0.00860831200401,0.0,411.4759513769891,412.9096926566124,412.77342729349766,413.92948967762044
0.38000000000000006,0.000585810941366,0.00105675551197,10.1682656189,0.00353027051202,6.27995370198,0.0,0.00561451900402,0.00870343530822,0.812497942608,-0.00278336190964,-0.00398037919005,0.0,422.5369740389496,423.73215735047876,424.81869687009817,424.0513469405024
0.4000000000000001,0.000706274009309,0.0012397520677,10.1850825527,0.00348017521287,6.27987560288,0.0,0.00643178779027,0.00959622026466,0.869195441218,-0.00612160667098,-0.00571732122196,0.0,459.64609532376426,459.2330863791507,459.3683572515979,458.57369148028806
0.4200000000000001,0.000842486460361,0.00143964323664,10.2027936928,0.00339564505438,6.27976411443,0.0,0.00718945731486,0.0103928966293,0.901918569286,-0.0148281530505,-0.00810812531263,0.0,438.1454381278122,437.54890291980234,437.33481359420523,435.15418725103984
